id_produkcji,tytul,rezyser,kraj,czy_serial,dlugosc_filmu,rok_produkcji,czy_dla_dzieci
1,Varieté,Ewald André Dupont,Niemcy,f,104,1925,f
2,Speed,Edwin L. Marin,Stany Zjednoczone,f,70,1936,t
3,Il ponte di Waterloo,Mervyn LeRoy,Stany Zjednoczone,f,108,1940,t
4,Jesse James at Bay,Joseph Kane,Stany Zjednoczone,f,56,1941,t
5,Mostro pazzo,Sam Newfield,Stany Zjednoczone,f,77,1942,f
6,Angoscia,George Cukor,Stany Zjednoczone,f,114,1944,t
7,Impulse,Cy Endfield,Wielka Brytania,f,80,1954,t
8,Il vestito strappato,Jack Arnold,Stany Zjednoczone,f,93,1957,t
9,Tirate sul pianista,François Truffaut,Francja,f,81,1960,t
10,Quei due,Stanley Donen,Wielka Brytania,f,96,1969,f
11,Arnold,Georg Fenady,Stany Zjednoczone,f,94,1973,t
12,Vi amo,Claude Berri,Francja,f,105,1980,t
13,Yin ji,Chiu Lee,Hong Kong,f,88,1982,t
14,Tornado,Antonio Margheriti,Wlochy,f,90,1983,t
15,Special Effects,Larry Cohen,Stany Zjednoczone,f,106,1984,f
16,Festa di laurea,Pupi Avati,Wlochy,f,94,1985,f
17,Digger,Rob Turner,Kanada,f,95,1993,t
18,Concorso infernale,Paul Lynch,Kanada,f,93,1995,t
19,Farlig farvann,Lars Berg,Norwegia,f,85,1995,t
20,I laureati,Leonardo Pieraccioni,Wlochy,f,88,1995,t
21,Afterglow,Alan Rudolph,Stany Zjednoczone,f,119,1997,t
22,Slutspel,Stephan Apelgren,Szwecja,f,81,1997,t
23,Tail Lights Fade,Malcolm Ingram,Kanada,f,87,1999,f
24,Olsenbandens siste bedrifter,Knut Andersen,Norwegia,f,91,1975,t
25,The Best Man,Malcolm D. Lee,Stany Zjednoczone,f,120,1999,t
26,226,Hideo Gosha,Japonia,f,114,1989,t
27,Spia per caso,Teddy Chan,Hong Kong,f,108,2001,t
28,Yuen chi mo hei,Aman Chang,Hong Kong,f,91,1999,t
29,Firefight,Paul Ziller,Kanada,f,96,2003,t
30,Buddy,Morten Tyldum,Norwegia,f,100,2003,t
31,Leroy,Armin Völckers,Niemcy,f,89,2007,f
32,Naoko,Tomoyuki Furumaya,Japonia,f,120,2008,f
33,Cut,Dominic Burns,Wielka Brytania,f,87,2010,t
34,Fujoshi kanojo.,Atsushi Kaneshige,Japonia,f,97,2009,t
35,Outrage,Takeshi Kitano,Japonia,f,109,2010,f
36,Gut,Elias,Stany Zjednoczone,f,91,2012,t
37,Bastard,Carsten Unger,Niemcy,f,100,2011,f
38,Dead Genesis,Reese Eveneshen,Kanada,f,98,2010,t
39,Nobody Can Cool,Dpyx,Stany Zjednoczone,f,92,2015,t
40,Blinder,Richard Gray,Australia,f,102,2013,t
41,Jurassic Shark,Brett Kelly,Kanada,f,75,2012,t
42,Crook,Adrian Langley,Kanada,f,92,2013,f
43,Max,Boaz Yakin,Stany Zjednoczone,f,111,2015,t
44,One and Two,Andrew Droz Palermo,Stany Zjednoczone,f,90,2015,f
45,The Lesson,Ruth Platt,Wielka Brytania,f,97,2015,f
46,Infidus,Giulio De Santi,Wlochy,f,80,2015,t
47,Maze Runner - La rivelazione,Wes Ball,Stany Zjednoczone,f,143,2018,t
48,In guerra per amore,Pif,Wlochy,f,99,2016,t
49,The Detained,Blair Hayes,Stany Zjednoczone,f,90,2017,f
50,Sweethearts,Karoline Herfurth,Niemcy,f,107,2019,f
51,Serpente a sonagli,Zak Hilditch,Stany Zjednoczone,f,85,2019,f
52,The Story of the Kelly Gang,Charles Tait,Australia,f,70,1906,t
53,The Avenging Conscience: or 'Thou Shalt Not Kill',D.W. Griffith,Stany Zjednoczone,f,78,1914,t
54,"His Majesty, the Scarecrow of Oz",J. Farrell MacDonald,Stany Zjednoczone,f,59,1914,t
55,The Patchwork Girl of Oz,J. Farrell MacDonald,Stany Zjednoczone,f,81,1914,t
56,The Perils of Pauline,"Louis J. Gasnier, Donald MacKenzie",Stany Zjednoczone,f,199,1914,t
57,The Squaw Man,"Oscar Apfel, Cecil B. DeMille",Stany Zjednoczone,f,74,1914,t
58,Alice in Wonderland,W.W. Young,Stany Zjednoczone,f,52,1915,t
59,Nascita di una nazione,D.W. Griffith,Stany Zjednoczone,f,195,1915,t
60,The Coward,"Reginald Barker, Thomas H. Ince",Stany Zjednoczone,f,77,1915,t
61,Martyrs of the Alamo,Christy Cabanne,Stany Zjednoczone,f,71,1915,t
62,La rigenerazione,Raoul Walsh,Stany Zjednoczone,f,72,1915,t
63,"20,000 Leagues Under the Sea",Stuart Paton,Stany Zjednoczone,f,105,1916,t
64,Gretchen the Greenhorn,"Chester M. Franklin, Sidney Franklin",Stany Zjednoczone,f,58,1916,t
65,L'Inferno,"Francesco Bertolini, Adolfo Padovan",Wlochy,f,68,1911,t
66,Cabiria,Giovanni Pastrone,Wlochy,f,148,1914,t
67,Rapsodia satanica,Nino Oxilia,Wlochy,f,55,1917,t
68,Dödskyssen,Victor Sjöström,Szwecja,f,60,1916,t
69,Madame DuBarry,Ernst Lubitsch,Niemcy,f,85,1919,t
70,Lo studente di Praga,"Paul Wegener, Stellan Rye",Niemcy,f,85,1913,t
71,Le mort qui tue,Louis Feuillade,Francja,f,90,1913,f
72,I vampiri,Louis Feuillade,Francja,f,421,1915,t
73,Hævnens Nat,Benjamin Christensen,Dania,f,100,1916,t
74,Hoodoo Ann,Lloyd Ingraham,Stany Zjednoczone,f,65,1916,t
75,Reggie Mixes In,Christy Cabanne,Stany Zjednoczone,f,50,1916,f
76,The Return of Draw Egan,William S. Hart,Stany Zjednoczone,f,50,1916,t
77,Cleopatra,J. Gordon Edwards,Stany Zjednoczone,f,125,1917,t
78,Joan the Woman,Cecil B. DeMille,Stany Zjednoczone,f,138,1916,t
79,The Little American,"Cecil B. DeMille, Joseph Levering",Stany Zjednoczone,f,80,1917,t
80,A Modern Musketeer,Allan Dwan,Stany Zjednoczone,f,68,1917,t
81,The Poor Little Rich Girl,Maurice Tourneur,Stany Zjednoczone,f,65,1917,t
82,"Raffles, the Amateur Cracksman",George Irving,Stany Zjednoczone,f,70,1917,t
83,A Romance of the Redwoods,Cecil B. DeMille,Stany Zjednoczone,f,91,1917,t
84,A Tale of Two Cities,Frank Lloyd,Stany Zjednoczone,f,70,1917,t
85,Tom Sawyer,William Desmond Taylor,Stany Zjednoczone,f,59,1917,t
86,Wild and Woolly,John Emerson,Stany Zjednoczone,f,72,1917,t
87,Ravished Armenia,Oscar Apfel,Stany Zjednoczone,f,80,1919,t
88,Behind the Door,Irvin Willat,Stany Zjednoczone,f,70,1919,t
89,Il gabinetto del dottor Caligari,Robert Wiene,Niemcy,f,76,1920,t
90,Anders als die Andern,Richard Oswald,Niemcy,f,50,1919,f
91,Il ritorno al paradiso terrestre,David Hartford,Kanada,f,73,1919,t
92,L'astronave,Holger-Madsen,Dania,f,97,1918,t
93,Hawthorne of the U.S.A.,James Cruze,Stany Zjednoczone,f,57,1919,f
94,The Roaring Road,James Cruze,Stany Zjednoczone,f,58,1919,t
95,Scarlet Days,D.W. Griffith,Stany Zjednoczone,f,77,1919,t
96,Amore sulle labbra,D.W. Griffith,Stany Zjednoczone,f,87,1919,f
97,Quando le nuvole volano via,Victor Fleming,Stany Zjednoczone,f,85,1919,f
98,Dr. Jekyll e Mr. Hyde,John S. Robertson,Stany Zjednoczone,f,69,1920,t
99,Headin' Home,Lawrence C. Windom,Stany Zjednoczone,f,71,1920,t
100,Just Pals,John Ford,Stany Zjednoczone,f,50,1920,t
101,The Last of the Mohicans,"Clarence Brown, Maurice Tourneur",Stany Zjednoczone,f,73,1920,f
102,Il segno di Zorro,Fred Niblo,Stany Zjednoczone,f,79,1920,t
103,Un pulcino nella stoppa,Victor Fleming,Stany Zjednoczone,f,86,1920,t
104,Pollyanna,Paul Powell,Stany Zjednoczone,f,58,1920,t
105,Suds,John Francis Dillon,Stany Zjednoczone,f,75,1920,t
106,The Toll Gate,Lambert Hillyer,Stany Zjednoczone,f,73,1920,t
107,La vedova del pastore,Carl Theodor Dreyer,Szwecja,f,94,1920,t
108,Fante-Anne,Rasmus Breistein,Norwegia,f,93,1920,f
