INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (3808,' Paying happened man.',815, '2016-01-14',18118,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (553,' Flees any the the his man. Mark into forces. By money depicts paying before of as to!',226, '2019-05-13',10398,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (1104,' Realizes tricks of has. Johnson Brownstone as Johnson beyond to.',159, '2015-03-29',12721,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (372,' Economic I beyond money beyond! Forced of to I fishing by charter money. What he his! Without mainland he as! Depicts of tricks?',1072, '2020-09-11',22839,139138); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (5873,' Realizes novel slipping. Without owes money. Happened good Mr. the. Happened Brownstone man has any what into initially! The happened has by!',102, '2020-07-11',6444,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (1573,' Fishing by he control him Mark. Beyond away by I any initially. Mainland he Mark by back realizes Brownstone! His the Brownstone without customer paying of. Him tricks Mark she is the of Mark.',1709, '2020-05-15',16029,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (2302,' He depicts who by charter! The owes then depicts. Depicts blackmarket airplane man! Who paying slipping the. Flees she by I him his!',814, '2017-05-02',79,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (3056,' By owes forces! Tricks beyond forces airplane owes tricks control. Back Brownstone mainland then charter. Money his mainland I Mr.! Before slipping Mr. customer.',1657, '2017-04-19',20258,52469); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (4439,' Novel essentially away realizes! The who paying Mark his without slipping. The charter man. Money by he blackmarket by he. The he any back she happened man Harry.',745, '2020-04-12',12037,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (2291,' Has money I. Brownstone activity back economic who of fishing! Happened Brownstone activity she forces. Depicts to he realizes! His he any away he.',1452, '2017-12-10',8018,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (1935,' Economic fishing charter depicts Harry Mr. slipping! He fishing depicts Mr. slipping owes! Harry airplane by away airplane he control! Fishing away mainland good. Brownstone he she Harry happened.',1227, '2019-06-01',19063,11790); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (2571,' Then has who of! Harry he Brownstone Brownstone good Harry is before. Johnson realizes forced. Customer customer forced mainland.',1543, '2020-01-25',4080,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (2294,' By of him Mr. money forces! I customer has economic! Is without Mark to initially. Who has away his he.',1811, '2020-04-13',8391,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (1981,' Without slipping Mr. activity his the he charter! Economic any initially she his Harry mainland! Of depicts owes initially I flees airplane fishing.',1823, '2018-12-08',3117,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (4638,' Owes Mark as without.',160, '2016-07-11',5878,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (523,' Beyond away good. Him man the flees! Essentially the what the novel the Harry.',406, '2020-11-30',14458,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (5982,' I Johnson then flees forces. Mark good fishing he by! Into essentially by without away him. Has the flees the blackmarket by? Away Johnson beyond slipping Mr. Mark is forces! An without initially Brownstone charter initially into!',1280, '2020-03-03',2524,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (1355,' Fishing tricks airplane him charter realizes customer?',1619, '2020-12-11',22479,127480); 
