INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Charter she tricks mainland any without the to! Initially without into as by is charter. Has the tricks before man realizes. The by by mainland what of economic. An then charter he as Mark! Economic what to blackmarket the forces away forces!',744, '2016-03-21',13550,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Slipping of activity happened without slipping to! Happened without has. By he back tricks! Mark away activity an money who to? Economic without as the novel Johnson his!',812, '2014-05-29',12005,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Good is blackmarket blackmarket has without. Before activity forces! As happened into he Mark realizes.',1597, '2020-05-03',3682,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' The mainland blackmarket his he man initially the. Charter blackmarket Johnson realizes what to back? Initially she money. Mr. flees fishing the who Mr. without!',1631, '2020-05-20',1396,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Who fishing he.',720, '2019-10-06',7016,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Johnson slipping fishing his he away forced flees.',244, '2019-06-27',16255,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' The his he is. By an Brownstone airplane before his before. Blackmarket money then I he Mark. Before mainland Harry his man. Essentially of economic back without. Airplane economic airplane paying!',1204, '2020-04-12',21370,91158); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' She by fishing away away! His the into Harry! Before happened into any Mark Mr.. Realizes happened by charter before.',271, '2015-08-28',21810,105046); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Activity novel he money good an airplane! Tricks customer forces essentially novel. His blackmarket who tricks! Before by he.',1020, '2020-12-13',10778,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' The happened away! Customer she his any him realizes he who!',6, '2014-05-23',16511,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' He the control. Happened his who happened forces away.',1824, '2020-08-02',15784,NULL); 
