indeks,tytul,rok,age,czy_serial,dlugosc_filmu,rezyser,kraj
1,Stranger Things,2016,f,t,,,Niemcy
2,Money Heist,2017,f,t,,,Niemcy
3,Sherlock,2010,f,t,,,Wlochy
4,Better Call Saul,2015,f,t,,,Szwecja
5,The Office,2005,f,t,,,Wielka Brytania
6,Black Mirror,2011,f,t,,,Wlochy
7,Supernatural,2005,f,t,,,Wlochy
8,Peaky Blinders,2013,f,t,,,Szwecja
9,Avatar: The Last Airbender,2005,t,t,,,Stany Zjednoczone
10,The Walking Dead,2010,f,t,,,Stany Zjednoczone
11,Dark,2017,f,t,,,Stany Zjednoczone
12,Ozark,2017,f,t,,,Szwecja
13,Attack on Titan,2013,f,t,,,Francja
14,Narcos,2015,f,t,,,Hiszpania
15,Fullmetal Alchemist: Brotherhood,2009,f,t,,,Szwecja
16,Community,2009,t,t,,,Wlochy
17,Mindhunter,2017,f,t,,,Francja
18,Parks and Recreation,2009,f,t,,,Hiszpania
19,Dexter,2006,f,t,,,Dania
20,Marvel's Daredevil,2015,f,t,,,Japonia
21,The Witcher,2019,f,t,,,Stany Zjednoczone
22,Twin Peaks,1990,f,t,,,Stany Zjednoczone
23,One-Punch Man,2015,f,t,,,Hiszpania
24,Outlander,2014,f,t,,,Hiszpania
25,House of Cards,2013,f,t,,,Szwecja
26,Shameless,2011,f,t,,,Stany Zjednoczone
27,The Good Place,2016,f,t,,,Hiszpania
28,The Haunting,2018,f,t,,,Stany Zjednoczone
29,The Blacklist,2013,f,t,,,Szwecja
30,The Flash,2014,t,t,,,Hiszpania
31,The Last Kingdom,2015,f,t,,,Hiszpania
32,Mad Men,2007,f,t,,,Japonia
33,Lucifer,2016,f,t,,,Niemcy
34,Orange Is the New Black,2013,f,t,,,Francja
35,Grey's Anatomy,2005,f,t,,,Stany Zjednoczone
36,The End of the F***ing World,2017,f,t,,,Francja
37,Arrested Development,2003,f,t,,,Wielka Brytania
38,The Vampire Diaries,2009,t,t,,,Stany Zjednoczone
39,The Crown,2016,f,t,,,Szwecja
40,The 100,2014,f,t,,,Hong Kong
41,When They See Us,2019,f,t,,,Hiszpania
42,How to Get Away with Murder,2014,f,t,,,Francja
43,After Life,2019,f,t,,,Stany Zjednoczone
44,Elite,2018,f,t,,,Stany Zjednoczone
45,BoJack Horseman,2014,f,t,,,Japonia
46,Never Have I Ever,2020,f,t,,,Wielka Brytania
47,Penny Dreadful,2014,f,t,,,Szwecja
48,Marvel's Agents of S.H.I.E.L.D.,2013,f,t,,,Hong Kong
49,Dead to Me,2019,f,t,,,Francja
50,Unorthodox,2020,f,t,,,Wielka Brytania
51,Sense8,2015,f,t,,,Polska
52,Sacred Games,2018,f,t,,,Dania
53,American Crime Story,2016,f,t,,,Stany Zjednoczone
54,Family Guy,1999,f,t,,,Wielka Brytania
55,Pretty Little Liars,2010,f,t,,,Niemcy
56,Unbelievable,2019,f,t,,,Wielka Brytania
57,Arrow,2012,f,t,,,Wielka Brytania
58,The IT Crowd,2006,f,t,,,Wielka Brytania
59,The Twilight Zone,1959,t,t,,,Stany Zjednoczone
60,YOU,2018,f,t,,,Stany Zjednoczone
61,Sex Education,2019,f,t,,,Hiszpania
62,"Tiger King: Murder, Mayhem and Madness",2020,f,t,,,Wlochy
63,Star Trek: The Next Generation,1987,t,t,,,Hong Kong
64,Broadchurch,2013,f,t,,,Szwecja
65,Kingdom,2019,f,t,,,Stany Zjednoczone
66,Altered Carbon,2018,f,t,,,Stany Zjednoczone
67,The Sinner,2017,f,t,,,Stany Zjednoczone
68,"Love, Death & Robots",2019,f,t,,,Japonia
69,Marvel's Jessica Jones,2015,f,t,,,Stany Zjednoczone
70,New Girl,2011,f,t,,,Szwecja
71,The Good Wife,2009,f,t,,,Wlochy
72,The Umbrella Academy,2019,f,t,,,Szwecja
