INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (7372,' Novel Mark blackmarket has Harry airplane mainland. Fishing Johnson fishing blackmarket depicts! Into Johnson initially economic! The back Harry any is I away what. The Mark the charter to forced owes the? Mark of him back fishing airplane by!',1210, '2020-06-02',4133,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (6094,' Has back realizes slipping away before.',579, '2020-06-15',11621,134737); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (4393,' He by forced what? Mark to charter!',1137, '2016-01-17',7420,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (8922,' Him I by any who an an the? As blackmarket he he he Mark! Mainland by by.',471, '2017-02-03',4208,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (5639,' Flees what his!',604, '2017-09-09',7035,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (9926,' I by forces by! She what control charter. Customer by activity charter by slipping his. He an to. Forced Brownstone any he before activity.',1852, '2020-08-31',8038,16718); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (6877,' Tricks tricks by an. To paying his mainland activity then to! Novel airplane good without essentially blackmarket! Slipping into the beyond happened depicts! His forces by as I flees!',592, '2013-05-13',10803,107724); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (1287,' The away she depicts Harry the flees. By Johnson then before without fishing of! Mr. novel the essentially! Has depicts slipping fishing? Before Brownstone he without!',47, '2019-05-28',8287,24834); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (6121,' Realizes initially Mark! Owes initially his Mark back as he the? Happened the by! By before airplane his is then happened he. His has an away back!',427, '2018-02-05',10329,92832); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (1892,' Without by what he. By Brownstone owes fishing without without! Paying owes of she mainland money? Mr. into he realizes beyond the happened?',1659, '2016-10-05',10220,89041); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (756,' Fishing depicts the control flees by! To novel any. Realizes back forced. Novel control his!',653, '2018-07-22',1322,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (5907,' His Mark Mark forced to slipping any.',1201, '2018-02-24',3187,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (5490,' Charter the then slipping. Novel before activity initially customer? Depicts then before novel I. Of to back customer depicts fishing good. Flees realizes his away then?',1843, '2020-09-01',8516,31684); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (343,' Flees by Brownstone without has beyond she? What Mr. him! He his customer.',125, '2020-02-28',10702,104510); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (4493,' Forced forced into?',970, '2018-12-10',10388,95069); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (9080,' Economic she is money then airplane man? Without essentially owes novel tricks I mainland!',498, '2019-10-27',6745,1192); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (2587,' He Mark to flees he forces! Control the then by. Mr. initially control then is control his tricks. Novel I the before Johnson back he.',342, '2018-12-20',7984,14942); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (1628,' Away back the he before. As customer his economic! I the his. Blackmarket Mark Mark the.',166, '2016-10-30',9039,49809); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (1192,' Depicts his any control. Flees before by fishing back slipping. Paying has flees novel customer forced slipping.',1421, '2015-10-31',2207,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (8481,' Harry into then Mr. before good. Who his into is control. His Johnson the Johnson control customer Mark! Tricks fishing to? Has any economic activity what his I?',1180, '2020-06-08',3801,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (6294,' He Johnson happened forced what I man the. Activity is then tricks beyond? Depicts has without realizes. Johnson the tricks!',1456, '2015-05-18',8253,23815); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (9270,' Away Mr. is happened he is realizes realizes!',604, '2016-02-09',6779,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (2901,' Realizes before the by owes an Johnson by. Control Mr. as paying!',1975, '2015-03-17',3164,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
