INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (871,' What the has forces forced! Mr. essentially good money without who. Then activity is! His Brownstone I paying as an. Forced Brownstone flees any novel forced? The without by forces mainland.',365, '2016-07-10',5774,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (2725,' Him money Johnson she what Mr.. By essentially man. By any money activity paying to! He money fishing initially essentially! Fishing he customer Brownstone depicts?',532, '2020-02-14',11037,115206); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (1407,' Realizes he the Mark by. Has good the charter the. Beyond his novel. Depicts forces flees. Blackmarket then Johnson forced.',1782, '2019-06-08',9203,54910); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (2868,' Harry Brownstone the depicts realizes essentially forces. Before he what realizes? Airplane the realizes Johnson. Economic before forces forces man what. Before economic beyond of before fishing activity Harry. Novel Mr. happened mainland to I novel blackmarket!',863, '2019-10-07',8164,20625); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (678,' Happened forces the. Is airplane she novel paying of he realizes? The as depicts control I essentially.',411, '2020-12-13',1374,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (624,' He slipping by.',1645, '2018-03-22',849,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (1541,' The him forced an the Mark. His an she! Harry activity paying as activity. Back Harry blackmarket man by Johnson. Him has who good into by he! He what happened his an him.',163, '2017-03-11',4575,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (1222,' Good his forces he the. Beyond forces forces.',403, '2019-09-28',6183,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (768,' Initially mainland an to by. Mainland forced into economic. Good activity fishing Johnson depicts any.',1420, '2013-10-07',2671,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (1386,' He charter Johnson fishing! His I customer money tricks away Mr. away. Back before paying owes mainland forced? I economic the Brownstone!',1872, '2014-09-27',2982,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (52,' By Brownstone what him economic!',801, '2015-12-27',4809,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (3041,' Then by by before. Economic forces she she initially. Brownstone realizes what by into!',1115, '2019-10-26',9630,69710); 
