INSERT INTO platnosci(id_konta, data, kwota) VALUES(1,'2017-08-21',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(1,'2017-09-21',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(1,'2017-10-21',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(1,'2017-11-21',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(1,'2017-12-21',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(1,'2018-01-21',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(1,'2018-02-21',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(1,'2018-03-21',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(1,'2018-04-21',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(1,'2018-05-21',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(1,'2018-06-21',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(1,'2018-07-21',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(1,'2018-08-21',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(1,'2018-09-21',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(1,'2018-10-21',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(1,'2018-11-21',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(1,'2018-12-21',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(1,'2019-01-21',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(1,'2019-02-21',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(1,'2019-03-21',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(1,'2019-04-21',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(1,'2019-05-21',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(1,'2019-06-21',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(1,'2019-07-21',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(1,'2019-08-21',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(1,'2019-09-21',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(1,'2019-10-21',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(1,'2019-11-21',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(1,'2019-12-21',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(1,'2020-01-21',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(1,'2020-02-21',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(1,'2020-03-21',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(1,'2020-04-21',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(1,'2020-05-21',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(1,'2020-06-21',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(1,'2020-07-21',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(1,'2020-08-21',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(1,'2020-09-21',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(1,'2020-10-21',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(1,'2020-11-21',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(1,'2020-12-21',34); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(2,'2018-09-26',60); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(2,'2018-10-26',60); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(2,'2018-11-26',60); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(2,'2018-12-26',60); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(2,'2019-01-26',60); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(2,'2019-02-26',60); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(2,'2019-03-26',60); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(2,'2019-04-26',60); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(2,'2019-05-26',60); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(2,'2019-06-26',60); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(2,'2019-07-26',60); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(2,'2019-08-26',60); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(2,'2019-09-26',60); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(2,'2019-10-26',60); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(2,'2019-11-26',60); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(2,'2019-12-26',60); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(2,'2020-01-26',60); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(2,'2020-02-26',60); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(2,'2020-03-26',60); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(2,'2020-04-26',60); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(2,'2020-05-26',60); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(2,'2020-06-26',60); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(2,'2020-07-26',60); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(2,'2020-08-26',60); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(2,'2020-09-26',60); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(2,'2020-10-26',60); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(2,'2020-11-26',60); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(2,'2020-12-26',60); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(2,'2021-01-26',60); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2016-01-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2016-03-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2016-03-09',52); 
INSERT INTO platnosci(id_konta, data, kwota) VALUES(3,'2016-05-09',52); 
