id_produkcji,tytul,rezyser,kraj,czy_serial,dlugosc_filmu,rok_produkcji,czy_dla_dzieci
1,Tirate sul pianista,François Truffaut,Francja,f,01:21:00,1960,t
2,Vi amo,Claude Berri,Francja,f,01:45:00,1980,t
3,Tornado,Antonio Margheriti,Wlochy,f,01:30:00,1983,t
4,Concorso infernale,Paul Lynch,Kanada,f,01:33:00,1995,t
5,Slutspel,Stephan Apelgren,Szwecja,f,01:21:00,1997,t
6,Olsenbandens siste bedrifter,Knut Andersen,Norwegia,f,01:31:00,1975,t
7,226,Hideo Gosha,Japonia,f,01:54:00,1989,t
8,Leroy,Armin Völckers,Niemcy,f,01:29:00,2007,f
9,Naoko,Tomoyuki Furumaya,Japonia,f,02:00:00,2008,f
10,Dead Genesis,Reese Eveneshen,Kanada,f,01:38:00,2010,t
11,Blinder,Richard Gray,Australia,f,01:42:00,2013,t
12,Max,Boaz Yakin,Stany Zjednoczone,f,01:51:00,2015,t
13,One and Two,Andrew Droz Palermo,Stany Zjednoczone,f,01:30:00,2015,f
14,The Lesson,Ruth Platt,Wielka Brytania,f,01:37:00,2015,f
15,Maze Runner - La rivelazione,Wes Ball,Stany Zjednoczone,f,02:23:00,2018,t
16,Sweethearts,Karoline Herfurth,Niemcy,f,01:47:00,2019,f
17,Serpente a sonagli,Zak Hilditch,Stany Zjednoczone,f,01:25:00,2019,f
18,Nomis,David Raymond,Kanada,f,01:38:00,2018,t
19,Stranger Things,,Niemcy,t,,2016,f
20,Money Heist,,Niemcy,t,,2017,f
21,Sherlock,,Wlochy,t,,2010,f
22,Better Call Saul,,Szwecja,t,,2015,f
23,L'ultima donna sulla Terra,Roger Corman,Stany Zjednoczone,f,01:11:00,1960,t
24,The Office,,Wielka Brytania,t,,2005,f
25,Black Mirror,,Wlochy,t,,2011,f
26,Supernatural,,Wlochy,t,,2005,f
27,Peaky Blinders,,Szwecja,t,,2013,f
28,Colony,,Francja,t,,2016,f
29,Between,,Wielka Brytania,t,,2015,f
30,Unauthorized Living,,Niemcy,t,,2018,f
31,Le jene di Edimburgo,John Gilling,Wielka Brytania,f,01:34:00,1960,t
32,Un colpo da otto,Basil Dearden,Wielka Brytania,f,01:56:00,1960,t
33,Londra a mezzanotte,Terence Young,Wielka Brytania,f,01:30:00,1960,f
34,La battaglia di Alamo,John Wayne,Stany Zjednoczone,f,02:42:00,1960,t
35,I giovani cannibali,"Michael Anderson, Vincente Minnelli",Stany Zjednoczone,f,01:52:00,1960,f
36,La pelle degli eroi,Hall Bartlett,Stany Zjednoczone,f,01:27:00,1960,f
37,L'appartamento,Billy Wilder,Stany Zjednoczone,f,02:05:00,1960,t
38,Susanna agenzia squillo,Vincente Minnelli,Stany Zjednoczone,f,02:06:00,1960,t
39,The Boy and the Pirates,Bert I. Gordon,Stany Zjednoczone,f,01:22:00,1960,t
40,Cimarron,"Anthony Mann, Charles Walters",Stany Zjednoczone,f,02:27:00,1960,t
