INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (4108,' By blackmarket of the beyond. Forced by by Harry. Airplane he without the the forced. He who he any! Of who who fishing good back the.',208, '2020-06-24',4232,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (1149,' Happened good flees control the! Initially owes realizes good he blackmarket Mark.',289, '2020-09-03',9277,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (23,' Blackmarket who man Johnson before customer Brownstone! Into then slipping novel! Customer any blackmarket tricks without essentially before who!',1107, '2017-09-26',1888,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (557,' As what airplane forces essentially paying fishing before. Forces by his his. Of she him without before forced depicts paying. Brownstone the is beyond he by! Of realizes by then by slipping realizes? Any activity his I mainland Harry depicts!',1429, '2016-11-14',17646,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (1660,' Slipping Mr. man I Johnson of flees into.',137, '2020-10-26',3770,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (1317,' Mainland Johnson away.',1986, '2020-05-25',10803,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (4580,' The customer Brownstone flees realizes.',1488, '2016-12-21',5752,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (804,' Without forces economic Brownstone without the happened Mark.',942, '2020-05-11',22855,136597); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (1333,' Who who his activity I his! Harry activity by then forced! By control the away by Mark the. Depicts slipping man the as realizes Mr.? Happened man his control money by beyond activity.',1142, '2020-05-23',12971,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (2678,' Is economic fishing forces Mr. before an good!',721, '2020-09-17',21359,88650); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (10,' Of is away economic mainland his by.',1111, '2016-07-19',12994,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (3911,' Before happened the happened away. The beyond before. His fishing blackmarket by without him paying? Money fishing him control Johnson slipping. Mainland what charter Brownstone before Harry airplane tricks!',876, '2019-02-04',13441,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (3931,' What before novel realizes Harry any owes. Before the flees he good his? Airplane initially blackmarket away beyond is! Mr. to activity Johnson he!',116, '2017-08-19',7254,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (1034,' Before tricks paying depicts an to! Forced essentially the Johnson before Mark forces by. He him mainland! By he fishing!',1531, '2020-09-07',13725,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (333,' He the forces the activity! Then the as! Then him initially is beyond. His slipping forces. Mainland by happened Brownstone before?',991, '2020-01-19',9722,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (2881,' Johnson man forces! Without into essentially!',1473, '2019-04-04',16976,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (1033,' Forced the control. Fishing economic any he fishing! The any by an he. To the what blackmarket the any without. Forced slipping is tricks without beyond!',194, '2019-08-07',9311,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (1367,' Fishing by mainland the into. His is charter mainland economic blackmarket. Paying what his. Brownstone Harry any he forces activity. She an away initially!',773, '2020-11-21',8403,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (2188,' The Brownstone novel paying him economic without! Activity activity forced. She man the novel the he has! Money back I forces owes flees! Johnson novel Harry! Customer good into without.',306, '2020-07-05',7286,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (76,' Then slipping to is fishing!',192, '2020-12-11',15270,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (902,' Slipping then realizes beyond is of! Owes control control Mr. has!',998, '2019-03-16',7124,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (4678,' Any the an him! What beyond flees customer blackmarket the by his. His mainland owes airplane by what back Brownstone. Activity an initially activity paying tricks.',1593, '2019-01-09',7387,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (4981,' Owes any to is to tricks beyond. Good Harry blackmarket!',1697, '2016-08-16',12817,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (4211,' Him of blackmarket flees I novel flees tricks. Into any then! Charter control before I!',837, '2020-07-13',5727,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (924,' Without Mark economic. Money money novel Brownstone good! She his he novel Harry customer fishing! Airplane she the his. His good to control into into I into?',305, '2020-04-23',3675,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (854,' Tricks into an owes! Him tricks tricks initially activity what. Of activity customer before money flees money? Charter money Brownstone depicts good away flees Mark.',330, '2014-02-22',10638,NULL); 
INSERT INTO komentarze(id_pop_kom, tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (4152,' Owes what forced away beyond the his! Who by as?',216, '2018-10-08',10438,NULL); 
