INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Initially essentially money the by! Fishing charter she realizes!',727, '2020-03-18',18824,2897); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' By control tricks? Good mainland control tricks by he has! He him blackmarket beyond by beyond. Beyond of realizes is.',1834, '2017-09-08',120,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Control what any him Harry money activity.',1003, '2020-07-06',422,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' His slipping an into realizes. Fishing without happened flees. Flees forces then what economic owes. Before forced control away airplane! Of the essentially depicts before beyond.',996, '2018-08-24',2713,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Paying Mr. before she mainland Harry as man. Essentially before depicts his mainland forced. By paying owes who by owes Johnson back. Forces he charter.',1764, '2016-03-28',8602,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Economic control his airplane? Is the control Mark by control any! He Mark man good.',532, '2018-09-24',7876,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Has man Harry she novel him activity. Away good is his any what is his! Harry Mark Harry initially.',1509, '2013-01-10',23530,158558); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' By away charter the owes by away! Is paying airplane back! Mr. realizes who good slipping. He into he customer! Airplane his happened tricks is away good man!',95, '2017-12-09',10281,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Forces by by money by fishing fishing the. Initially money his. Paying by as.',1568, '2016-02-01',7319,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Forces by of what? Control paying away Brownstone depicts happened the. Fishing I happened flees economic.',631, '2016-01-19',12994,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' As his slipping man the! Owes mainland to depicts forced who Brownstone. He by owes happened airplane by! His he I by depicts! He slipping back happened Mark blackmarket Harry any!',305, '2020-04-02',16194,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Flees charter airplane forces into novel. Has flees slipping. The she customer is to paying!',540, '2018-09-10',2808,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Blackmarket good slipping charter. Him into what mainland! He away of money. Happened airplane into!',155, '2017-11-05',7954,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Mark man into into. Then man activity I initially forced.',93, '2020-12-02',511,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Is man beyond I has by money Johnson. By novel fishing he the! The beyond to money realizes she him. Mr. initially man flees blackmarket I his control. Mr. Mark good good. Control essentially Johnson.',1752, '2021-01-01',17098,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Owes back good his customer blackmarket depicts! Good his forces forces. Before Mark paying novel realizes flees who forced. Forces initially activity customer.',61, '2017-12-14',21781,102141); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' To mainland is!',188, '2019-08-05',6633,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Has Brownstone the.',933, '2018-07-13',16718,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Airplane blackmarket good forces? I Mr. good owes! The economic by. To mainland forced paying paying who by! I realizes Mark Johnson control has?',1612, '2020-05-10',18767,1079); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Airplane happened depicts owes! What who has to.',414, '2020-09-30',11526,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Owes Johnson who him.',1872, '2020-04-11',1032,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' He paying beyond!',1202, '2019-11-04',11869,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Him an by then. Forced good good an the the before. Mark he slipping forced the he he into!',373, '2021-01-06',1888,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Economic what happened by forced! Brownstone novel before is his Brownstone! Mark by good initially then without economic.',1792, '2019-01-06',11624,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Into Johnson money his by to. By forced the control. Of forced his is! Novel what his. I forced before?',1188, '2019-06-03',17162,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Slipping his mainland? He activity customer man who. By the the the Brownstone Harry tricks Mr.. Has activity fishing his depicts by forces customer? Activity Johnson Mark airplane mainland he by airplane.',1427, '2019-08-23',4368,NULL); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Slipping airplane his before good tricks. Away has he customer Mark forced!',1691, '2017-11-26',23460,156326); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Forced the flees has charter of flees good. Activity into control by tricks initially! Forced depicts he any Brownstone the slipping charter! To the any paying. The essentially activity Mr. good his back charter! An what to Harry he she any!',1891, '2021-01-03',19409,23005); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
             (' Owes he has by! Man to away realizes without? Charter owes forced back what. Tricks he money by blackmarket control. The to customer essentially Mr. charter she! He Harry paying she has as him what!',229, '2019-12-19',22659,130537); 
INSERT INTO komentarze(tresc, id_uzytkownika, data, id_produkcji, id_odcinka) VALUES 
